id,product_kr,product_en,hook_key,hook_kr,overlay_text_kr,scene_kr,persona_kr,style_kr,color_kr,aspect_ratio,size,ig_format,image_prompt,negative_prompt,status,image_path
yg_0001,슬림,Slim,curiosity_gap,호기심 갭,왜 다들 침대를 두고 여기서 잘까?,한강 피크닉 잔디,게이머 청년,푹 꺼지는 모션 블러,크림 베이지,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (좁은 폭의 빈백, 1인 라운지 체어 형태), 크림 베이지 fabric color, a young gamer with a controller, Hangang river park lawn picnic, outdoor daytime, motion-blur of a body sinking into the bean bag, dynamic, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0002,펫,Pet,asmr_sensory,감각·ASMR,푹— 몸이 그대로 녹아드는 소리,감성 카페 라운지,책 읽는 학생,초근접 텍스처 클로즈업,차콜 그레이,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (방수·항균·발톱 저항 커버의 반려동물용 빈백), 차콜 그레이 fabric color, a student reading a book, trendy cafe lounge interior, warm wood tones, extreme macro close-up of plush fabric texture, shallow depth of field, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0003,팟엑스,Pod X,aspiration,동경·라이프스타일,"이런 주말, 가져본 적 있나요",감성 카페 라운지,20대 1인 가구 여성,오버헤드 부감,라벤더,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (확장형 듀얼 라이너 빈백, 몸 굴곡에 반응하는 분절 패널), 라벤더 fabric color, a young woman in her 20s living alone, relaxed, trendy cafe lounge interior, warm wood tones, high overhead bird's-eye angle looking down, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0004,팟엑스,Pod X,pattern_interrupt,패턴 인터럽트,이 자세 실화냐,감성 카페 라운지,게이머 청년,초근접 텍스처 클로즈업,머스타드 옐로,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (확장형 듀얼 라이너 빈백, 몸 굴곡에 반응하는 분절 패널), 머스타드 옐로 fabric color, a young gamer with a controller, trendy cafe lounge interior, warm wood tones, extreme macro close-up of plush fabric texture, shallow depth of field, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0005,드롭,Drop,before_after,비포·애프터,딱딱한 거실 → 3초 만에 라운지로,게이밍 셋업 방,반려견과 집사,라이프스타일 와이드,머스타드 옐로,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (물방울 형태의 빈백 스툴, 발받침·보조 좌석용), 머스타드 옐로 fabric color, a person with a small dog cuddling, gaming room with RGB lights and a desk setup, wide lifestyle editorial shot, natural light, lived-in feel, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0006,허기보,Hugibo,social_proof,사회적 증거,재구매율이 말해주는 편안함,감성 카페 라운지,게이머 청년,초근접 텍스처 클로즈업,라벤더,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (끌어안는 바디필로우형 빈백, 수면·포옹감 강조), 라벤더 fabric color, a young gamer with a controller, trendy cafe lounge interior, warm wood tones, extreme macro close-up of plush fabric texture, shallow depth of field, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0007,서포트,Support,asmr_sensory,감각·ASMR,"오늘 밤, 여기로 사라지고 싶다",재택 홈오피스,게이머 청년,파스텔 팝 컬러블록,더스티 핑크,1:1,1080x1080,피드 정방,"A premium oversized bean bag sofa (U자형 받침 쿠션, 빈백과 결합해 리클라이너로 변신), 더스티 핑크 fabric color, a young gamer with a controller, work-from-home office corner, laptop on a low table, pastel pop color-block background, playful graphic style, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0008,팟,Pod,price_value,가치·합리화,"10년 쓰는 소파, 커버만 갈면 새것",아늑한 원룸,20대 1인 가구 여성,파스텔 팝 컬러블록,올리브 그린,4:5,1080x1350,피드 세로,"A premium oversized bean bag sofa (둥근 1인 의자형 빈백, 감싸는 듯한 곡선 실루엣), 올리브 그린 fabric color, a young woman in her 20s living alone, relaxed, cozy compact studio apartment, minimal Korean interior, pastel pop color-block background, playful graphic style, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0009,팟엑스,Pod X,asmr_sensory,감각·ASMR,무중력으로 가라앉는 30초,캠핑·차박 텐트 안,게이머 청년,다크 무드 라이팅,크림 베이지,9:16,1080x1920,릴스/스토리,"A premium oversized bean bag sofa (확장형 듀얼 라이너 빈백, 몸 굴곡에 반응하는 분절 패널), 크림 베이지 fabric color, a young gamer with a controller, inside a camping tent / car-camping setup, lantern light, dark moody lighting with a single warm light source, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
yg_0010,허기보,Hugibo,problem_agitate,문제 자극,소파에서 자고 일어나면 허리 아픈 당신에게,펜션·풀빌라 거실,게이머 청년,한 손 스케일 비교,오트밀 화이트,1:1,1080x1080,피드 정방,"A premium oversized bean bag sofa (끌어안는 바디필로우형 빈백, 수면·포옹감 강조), 오트밀 화이트 fabric color, a young gamer with a controller, vacation pension living room, premium resort vibe, hand or person for scale, emphasizing size and softness, Korean home aesthetic, photorealistic, high-end interior photography, soft natural shadows, 8k, advertising quality, leave clean negative space at the top for a text overlay","logo, brand text, watermark, deformed limbs, extra fingers, low quality, blurry text, distorted face, cluttered, oversaturated, plastic look, duplicate furniture, broken perspective",pending,
